Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y,pass_completed,source,target,source_x,source_y,target_x,target_y
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Samuel Eto''o Fils,70.0,661.0,0.105900151,17797,15,"[53.05326086956522, 12.144927536231886]",10,19298,17,"[77.00602409638556, 34.99397590361444]",9,1.1155378486055776,Giovanni van Bronckhorst,Samuel Eto''o Fils,0.44211050724637685,0.15181159420289858,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Samuel Eto''o Fils,104.0,1381.5,0.075280492,20131,22,"[58.79875311720693, 45.45374064837906]",4,19298,17,"[77.00602409638556, 34.99397590361444]",9,1.657370517928287,Xavier Hernández Creus,Samuel Eto''o Fils,0.48998960931005775,0.5681717581047383,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Xavier Hernández Creus,48.0,661.0,0.072617247,17797,15,"[53.05326086956522, 12.144927536231886]",10,20131,22,"[58.79875311720693, 45.45374064837906]",4,0.7649402390438247,Giovanni van Bronckhorst,Xavier Hernández Creus,0.44211050724637685,0.15181159420289858,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Ronaldo de Assis Moreira,177.0,1067.0,0.165885661,19757,21,"[63.57812499999997, 33.80243055555558]",6,25879,23,"[72.29072681704261, 27.31804511278195]",3,2.8207171314741037,Anderson Luís de Souza,Ronaldo de Assis Moreira,0.5298177083333331,0.42253038194444476,0.6024227234753551,0.34147556390977435
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Samuel Eto''o Fils,98.0,1067.0,0.091846298,19757,21,"[63.57812499999997, 33.80243055555558]",6,19298,17,"[77.00602409638556, 34.99397590361444]",9,1.5617529880478087,Anderson Luís de Souza,Samuel Eto''o Fils,0.5298177083333331,0.42253038194444476,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,0,Samuel Eto''o Fils,Xavier Hernández Creus,68.0,464.0,0.146551724,19298,17,"[77.00602409638556, 34.99397590361444]",9,20131,22,"[58.79875311720693, 45.45374064837906]",4,1.0836653386454183,Samuel Eto''o Fils,Xavier Hernández Creus,0.6417168674698797,0.43742469879518053,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Xavier Hernández Creus,139.0,1067.0,0.13027179,19757,21,"[63.57812499999997, 33.80243055555558]",6,20131,22,"[58.79875311720693, 45.45374064837906]",4,2.2151394422310755,Anderson Luís de Souza,Xavier Hernández Creus,0.5298177083333331,0.42253038194444476,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Giovanni van Bronckhorst,78.0,1067.0,0.073102156,19757,21,"[63.57812499999997, 33.80243055555558]",6,17797,15,"[53.05326086956522, 12.144927536231886]",10,1.2430278884462151,Anderson Luís de Souza,Giovanni van Bronckhorst,0.5298177083333331,0.42253038194444476,0.44211050724637685,0.15181159420289858
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Lionel Andrés Messi Cuccittini,135.0,1067.0,0.126522962,19757,21,"[63.57812499999997, 33.80243055555558]",6,5503,23,"[75.86988636363634, 51.0440340909091]",2,2.151394422310757,Anderson Luís de Souza,Lionel Andrés Messi Cuccittini,0.5298177083333331,0.42253038194444476,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Lionel Andrés Messi Cuccittini,Samuel Eto''o Fils,67.0,783.5,0.08551372,5503,23,"[75.86988636363634, 51.0440340909091]",2,19298,17,"[77.00602409638556, 34.99397590361444]",9,1.0677290836653386,Lionel Andrés Messi Cuccittini,Samuel Eto''o Fils,0.6322490530303029,0.6380504261363638,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,1,Víctor Valdés Arribas,Carles Puyol i Saforcada,97.0,354.0,0.274011299,20176,26,"[12.457487922705308, 41.81787439613525]",0,20125,23,"[37.96269531250002, 30.09843749999999]",1,1.545816733067729,Víctor Valdés Arribas,Carles Puyol i Saforcada,0.10381239935587756,0.5227234299516906,0.3163557942708335,0.3762304687499999
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Carles Puyol i Saforcada,90.0,1067.0,0.084348641,19757,21,"[63.57812499999997, 33.80243055555558]",6,20125,23,"[37.96269531250002, 30.09843749999999]",1,1.4342629482071714,Anderson Luís de Souza,Carles Puyol i Saforcada,0.5298177083333331,0.42253038194444476,0.3163557942708335,0.3762304687499999
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Víctor Valdés Arribas,57.0,948.5,0.060094887,20125,23,"[37.96269531250002, 30.09843749999999]",1,20176,26,"[12.457487922705308, 41.81787439613525]",0,0.9083665338645418,Carles Puyol i Saforcada,Víctor Valdés Arribas,0.3163557942708335,0.3762304687499999,0.10381239935587756,0.5227234299516906
La Liga 2006/2007 Barcelona,1,Víctor Valdés Arribas,Lilian Thuram,88.0,354.0,0.248587571,20176,26,"[12.457487922705308, 41.81787439613525]",0,15071,18,"[34.90507726269319, 51.78697571743927]",8,1.402390438247012,Víctor Valdés Arribas,Lilian Thuram,0.10381239935587756,0.5227234299516906,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Víctor Valdés Arribas,10.0,661.0,0.015128593,17797,15,"[53.05326086956522, 12.144927536231886]",10,20176,26,"[12.457487922705308, 41.81787439613525]",0,0.1593625498007968,Giovanni van Bronckhorst,Víctor Valdés Arribas,0.44211050724637685,0.15181159420289858,0.10381239935587756,0.5227234299516906
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Víctor Valdés Arribas,72.0,817.0,0.088127295,15071,18,"[34.90507726269319, 51.78697571743927]",8,20176,26,"[12.457487922705308, 41.81787439613525]",0,1.1474103585657371,Lilian Thuram,Víctor Valdés Arribas,0.2908756438557766,0.6473371964679908,0.10381239935587756,0.5227234299516906
La Liga 2006/2007 Barcelona,0,Gianluca Zambrotta,Lionel Andrés Messi Cuccittini,152.0,885.0,0.171751412,15774,21,"[51.58337801608577, 56.95093833780166]",5,5503,23,"[75.86988636363634, 51.0440340909091]",2,2.4223107569721116,Gianluca Zambrotta,Lionel Andrés Messi Cuccittini,0.4298614834673814,0.7118867292225207,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Lionel Andrés Messi Cuccittini,Xavier Hernández Creus,144.0,783.5,0.183790683,5503,23,"[75.86988636363634, 51.0440340909091]",2,20131,22,"[58.79875311720693, 45.45374064837906]",4,2.2948207171314743,Lionel Andrés Messi Cuccittini,Xavier Hernández Creus,0.6322490530303029,0.6380504261363638,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Ronaldo de Assis Moreira,Samuel Eto''o Fils,83.0,853.0,0.097303634,25879,23,"[72.29072681704261, 27.31804511278195]",3,19298,17,"[77.00602409638556, 34.99397590361444]",9,1.3227091633466135,Ronaldo de Assis Moreira,Samuel Eto''o Fils,0.6024227234753551,0.34147556390977435,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Lionel Andrés Messi Cuccittini,210.0,1381.5,0.152008686,20131,22,"[58.79875311720693, 45.45374064837906]",4,5503,23,"[75.86988636363634, 51.0440340909091]",2,3.346613545816733,Xavier Hernández Creus,Lionel Andrés Messi Cuccittini,0.48998960931005775,0.5681717581047383,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Lionel Andrés Messi Cuccittini,Lilian Thuram,16.0,783.5,0.020421187,5503,23,"[75.86988636363634, 51.0440340909091]",2,15071,18,"[34.90507726269319, 51.78697571743927]",8,0.2549800796812749,Lionel Andrés Messi Cuccittini,Lilian Thuram,0.6322490530303029,0.6380504261363638,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Samuel Eto''o Fils,Anderson Luís de Souza,71.0,464.0,0.153017241,19298,17,"[77.00602409638556, 34.99397590361444]",9,19757,21,"[63.57812499999997, 33.80243055555558]",6,1.1314741035856575,Samuel Eto''o Fils,Anderson Luís de Souza,0.6417168674698797,0.43742469879518053,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Lionel Andrés Messi Cuccittini,Anderson Luís de Souza,130.0,783.5,0.165922144,5503,23,"[75.86988636363634, 51.0440340909091]",2,19757,21,"[63.57812499999997, 33.80243055555558]",6,2.0717131474103585,Lionel Andrés Messi Cuccittini,Anderson Luís de Souza,0.6322490530303029,0.6380504261363638,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Carles Puyol i Saforcada,126.0,1381.5,0.091205212,20131,22,"[58.79875311720693, 45.45374064837906]",4,20125,23,"[37.96269531250002, 30.09843749999999]",1,2.00796812749004,Xavier Hernández Creus,Carles Puyol i Saforcada,0.48998960931005775,0.5681717581047383,0.3163557942708335,0.3762304687499999
La Liga 2006/2007 Barcelona,1,Víctor Valdés Arribas,Gianluca Zambrotta,31.0,354.0,0.087570621,20176,26,"[12.457487922705308, 41.81787439613525]",0,15774,21,"[51.58337801608577, 56.95093833780166]",5,0.4940239043824701,Víctor Valdés Arribas,Gianluca Zambrotta,0.10381239935587756,0.5227234299516906,0.4298614834673814,0.7118867292225207
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Xavier Hernández Creus,174.0,948.5,0.183447549,20125,23,"[37.96269531250002, 30.09843749999999]",1,20131,22,"[58.79875311720693, 45.45374064837906]",4,2.7729083665338647,Carles Puyol i Saforcada,Xavier Hernández Creus,0.3163557942708335,0.3762304687499999,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Gianluca Zambrotta,87.0,1067.0,0.08153702,19757,21,"[63.57812499999997, 33.80243055555558]",6,15774,21,"[51.58337801608577, 56.95093833780166]",5,1.3864541832669324,Anderson Luís de Souza,Gianluca Zambrotta,0.5298177083333331,0.42253038194444476,0.4298614834673814,0.7118867292225207
La Liga 2006/2007 Barcelona,0,Gianluca Zambrotta,Anderson Luís de Souza,107.0,885.0,0.120903955,15774,21,"[51.58337801608577, 56.95093833780166]",5,19757,21,"[63.57812499999997, 33.80243055555558]",6,1.705179282868526,Gianluca Zambrotta,Anderson Luís de Souza,0.4298614834673814,0.7118867292225207,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Samuel Eto''o Fils,Lionel Andrés Messi Cuccittini,62.0,464.0,0.13362069,19298,17,"[77.00602409638556, 34.99397590361444]",9,5503,23,"[75.86988636363634, 51.0440340909091]",2,0.9880478087649402,Samuel Eto''o Fils,Lionel Andrés Messi Cuccittini,0.6417168674698797,0.43742469879518053,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Ronaldo de Assis Moreira,Lionel Andrés Messi Cuccittini,121.0,853.0,0.141852286,25879,23,"[72.29072681704261, 27.31804511278195]",3,5503,23,"[75.86988636363634, 51.0440340909091]",2,1.9282868525896415,Ronaldo de Assis Moreira,Lionel Andrés Messi Cuccittini,0.6024227234753551,0.34147556390977435,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Samuel Eto''o Fils,Ronaldo de Assis Moreira,67.0,464.0,0.144396552,19298,17,"[77.00602409638556, 34.99397590361444]",9,25879,23,"[72.29072681704261, 27.31804511278195]",3,1.0677290836653386,Samuel Eto''o Fils,Ronaldo de Assis Moreira,0.6417168674698797,0.43742469879518053,0.6024227234753551,0.34147556390977435
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Giovanni van Bronckhorst,58.0,1381.5,0.041983351,20131,22,"[58.79875311720693, 45.45374064837906]",4,17797,15,"[53.05326086956522, 12.144927536231886]",10,0.9243027888446215,Xavier Hernández Creus,Giovanni van Bronckhorst,0.48998960931005775,0.5681717581047383,0.44211050724637685,0.15181159420289858
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Lionel Andrés Messi Cuccittini,48.0,661.0,0.072617247,17797,15,"[53.05326086956522, 12.144927536231886]",10,5503,23,"[75.86988636363634, 51.0440340909091]",2,0.7649402390438247,Giovanni van Bronckhorst,Lionel Andrés Messi Cuccittini,0.44211050724637685,0.15181159420289858,0.6322490530303029,0.6380504261363638
